Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,3.7439999999999998,3,0.8,-1.9344
First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,29.124000000000002,3,0.6,-5.8248
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,81.72,3,0.2,2.724
Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,57.900000000000006,5,0.6,-14.475
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,624.48,1,0.0,56.2032
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,50.22,3,0.0,8.0352
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,44.7,5,0.0,4.172
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,64.17,1,0.0,6.2031
Standard Class,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,602.952,7,0.2,62.8075
First Class,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,691.128,3,0.2,-48.9549
Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,905.8799999999999,2,0.0,33.2156
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,59.97,1,0.0,6.7966
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,18.48,2,0.0,2.9568
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,475.104,7,0.2,13.8572
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,60.300000000000004,3,0.0,6.633
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,220.752,2,0.2,8.2782
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,19.44,1,0.0,3.1104
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,38.88,2,0.0,6.2208
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,160.02,3,0.0,16.5354
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,98.88,2,0.0,16.1504
Standard Class,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders,17.046,1,0.7,-3.788
Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,289.59000000000003,7,0.0,40.5426
First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,153.93599999999998,3,0.2,17.9592
Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,233.64,6,0.0,22.5852
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,193.87199999999999,7,0.2,22.6184
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,287.928,3,0.2,-10.7973
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,5.364,3,0.8,-3.0396
Second Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,71.76,4,0.0,11.7208
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,716.688,6,0.2,-26.8758
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,307.08,3,0.2,-3.8385
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,110.64599999999999,3,0.7,-25.8174
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,222.33599999999998,8,0.2,17.6016
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,83.976,1,0.2,2.0994
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,9.911999999999999,1,0.2,1.0738
Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,Accessories,1019.8799999999999,5,0.2,67.992
Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,125.88,2,0.0,10.9096
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,227.88,2,0.0,22.788
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,81.72,6,0.0,13.3476
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,120.28799999999998,14,0.2,14.5348
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,14.16,2,0.2,1.652
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,71.928,3,0.2,7.4925
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,391.392,6,0.2,44.0316
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,2362.59,3,0.0,165.3813
Standard Class,Corporate,United States,Bristol,Tennessee,37620,South,Office Supplies,Binders,473.38200000000006,1,0.7,-115.7156
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings,141.12,3,0.0,18.3456
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,92.52,4,0.0,13.878
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage,679.6800000000001,6,0.0,63.4368
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,345.06,9,0.0,51.759
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Technology,Phones,204.12,7,0.0,19.7316
Second Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,1801.674,3,0.3,-8.5794
Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Tables,1853.1000000000001,6,0.5,-407.682
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,7.164,2,0.7,-1.8308
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Storage,731.976,7,0.2,30.499
Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Chairs,244.27200000000002,2,0.2,-9.1602
Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Furnishings,715.6800000000001,3,0.0,26.2416
First Class,Corporate,United States,Columbus,Ohio,43229,East,Technology,Phones,179.91,5,0.4,-11.994
First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,234.912,2,0.2,29.364
First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,64.368,9,0.2,6.9732
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,60.12,3,0.0,9.6192
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,106.32,1,0.0,16.6568
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Art,34.56,4,0.0,3.456
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Fasteners,12.059999999999999,2,0.0,1.9698
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Binders,228.52800000000002,3,0.2,26.6616
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Supplies,197.64,6,0.0,18.4464
Standard Class,Consumer,United States,Roseville,California,95661,West,Furniture,Furnishings,129.35999999999999,14,0.0,20.6976
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,248.39999999999998,2,0.2,10.35
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Art,26.46,3,0.0,2.3814
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Envelopes,32.58,3,0.0,5.1042
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Paper,431.09999999999997,3,0.0,68.976
Standard Class,Consumer,United States,Independence,Missouri,64055,Central,Office Supplies,Appliances,2518.29,3,0.0,218.2518
Standard Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Storage,2015.79,7,0.0,20.1579
Standard Class,Home Office,United States,Newark,Ohio,43055,East,Furniture,Furnishings,281.664,4,0.2,12.9096
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,1153.35,11,0.0,103.8015
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,449.90999999999997,3,0.0,5.9988
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Furniture,Chairs,5855.5199999999995,8,0.0,585.552
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Office Supplies,Binders,514.6500000000001,5,0.0,80.6285
First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Office Supplies,Appliances,473.76,5,0.2,17.766
First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Technology,Phones,609.552,2,0.2,15.2388
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,175.14000000000001,7,0.0,26.271
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,316.56,4,0.0,48.5392
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Storage,242.64,6,0.0,21.0288
Standard Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Art,19.89,3,0.0,1.7901
Second Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs,1372.704,2,0.2,51.4764
Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Office Supplies,Labels,43.86,2,0.0,6.8714
Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Technology,Phones,2834.79,7,0.0,236.2325
First Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,17.94,1,0.0,2.691
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,163.152,2,0.2,1.3596
Standard Class,Consumer,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Envelopes,85.19999999999999,5,0.0,13.348
Standard Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Binders,83.03999999999999,2,0.2,9.688
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,29.808,3,0.2,2.7324
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Machines,24479.856,8,0.4,-1359.992
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Storage,827.784,3,0.2,-58.6347
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Furniture,Chairs,5220.18,9,0.3,-24.858
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,96.19200000000001,6,0.2,6.8136
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Appliances,533.9399999999999,5,0.8,-453.849
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Phones,431.928,3,0.2,8.9985
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,62.82000000000001,3,0.0,9.8418
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,332.88,2,0.0,53.2608
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Chairs,1020.432,7,0.2,21.259
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Appliances,157.344,2,0.8,-131.12
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Labels,60.480000000000004,4,0.2,6.552
Second Class,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Appliances,291.792,4,0.8,-243.16
Second Class,Consumer,United States,Newark,Ohio,43055,East,Furniture,Chairs,1190.406,7,0.3,-11.3372
Second Class,Consumer,United States,Newark,Ohio,43055,East,Office Supplies,Supplies,47.64,5,0.2,-3.7715
Standard Class,Home Office,United States,New York City,New York,10009,East,Office Supplies,Art,9.84,1,0.0,1.4104
Second Class,Corporate,United States,Decatur,Illinois,62521,Central,Office Supplies,Storage,74.448,2,0.2,1.8612
Second Class,Corporate,United States,Decatur,Illinois,62521,Central,Technology,Accessories,1226.232,7,0.2,76.6395
Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Phones,1511.8799999999999,4,0.0,131.0296
Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Phones,449.84999999999997,5,0.0,41.986
Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Accessories,87.0,2,0.0,7.25
Standard Class,Consumer,United States,Fairfield,Connecticut,6824,East,Office Supplies,Binders,21.48,2,0.0,3.4368
Standard Class,Home Office,United States,Los Angeles,California,90032,West,Technology,Accessories,530.4000000000001,8,0.0,22.984
Standard Class,Corporate,United States,Grand Prairie,Texas,75051,Central,Office Supplies,Storage,111.672,3,0.2,3.7224
Standard Class,Corporate,United States,Grand Prairie,Texas,75051,Central,Office Supplies,Paper,60.047999999999995,3,0.2,6.255
First Class,Home Office,United States,New York City,New York,10035,East,Furniture,Bookcases,2697.408,4,0.2,112.392
First Class,Home Office,United States,New York City,New York,10035,East,Technology,Phones,215.28000000000003,6,0.0,20.0928
First Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Paper,155.52,8,0.0,24.8832
First Class,Home Office,United States,New York City,New York,10035,East,Furniture,Bookcases,1879.056,3,0.2,46.9764
First Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Art,59.699999999999996,5,0.0,6.567
Standard Class,Corporate,United States,Redlands,California,92374,West,Office Supplies,Envelopes,42.839999999999996,7,0.0,6.7116
Standard Class,Consumer,United States,Hamilton,Ohio,45011,East,Office Supplies,Art,22.224,2,0.2,1.2038
Standard Class,Consumer,United States,Hamilton,Ohio,45011,East,Office Supplies,Art,18.144,3,0.2,1.5876
Standard Class,Home Office,United States,Westfield,New Jersey,7090,East,Office Supplies,Storage,138.78,3,0.0,12.0276
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Binders,8.838000000000001,2,0.7,-2.2586
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Paper,48.168000000000006,3,0.2,5.8203
Standard Class,Consumer,United States,Akron,Ohio,44312,East,Office Supplies,Paper,65.232,3,0.2,6.795
First Class,Consumer,United States,Denver,Colorado,80219,West,Furniture,Tables,656.25,2,0.5,-161.875
First Class,Consumer,United States,Denver,Colorado,80219,West,Office Supplies,Appliances,7.800000000000001,1,0.2,0.2925
Second Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Appliances,198.85200000000003,2,0.8,-178.9668
Standard Class,Corporate,United States,Franklin,Tennessee,37064,South,Furniture,Furnishings,105.50399999999999,7,0.2,9.6712
Standard Class,Consumer,United States,Whittier,California,90604,West,Technology,Phones,1334.3039999999999,4,0.2,44.4768
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office Supplies,Storage,251.76,4,0.0,5.8744
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Technology,Phones,395.93999999999994,2,0.0,35.6346
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office Supplies,Binders,47.76,4,0.0,7.4824
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office Supplies,Fasteners,156.87,9,0.0,16.2099
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office Supplies,Storage,275.96999999999997,1,0.0,3.6796
Second Class,Corporate,United States,Dallas,Texas,75220,Central,Technology,Accessories,62.400000000000006,2,0.2,6.5
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Office Supplies,Labels,71.03999999999999,2,0.2,8.88
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Furniture,Bookcases,1357.35,5,0.5,-244.323
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Technology,Phones,188.946,3,0.4,-14.6958
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Technology,Machines,3564.0,9,0.7,-950.4
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Technology,Accessories,268.752,2,0.2,4.4792
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Storage,279.18,6,0.0,26.0568
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,907.1279999999999,3,0.2,22.6782
First Class,Consumer,United States,Dublin,Ohio,43017,East,Office Supplies,Fasteners,16.752,2,0.2,1.8148
First Class,Consumer,United States,Dublin,Ohio,43017,East,Office Supplies,Paper,68.112,6,0.2,8.2302
First Class,Consumer,United States,Dublin,Ohio,43017,East,Office Supplies,Binders,59.328,4,0.7,-13.8432
First Class,Consumer,United States,Dublin,Ohio,43017,East,Furniture,Furnishings,218.11199999999997,4,0.2,19.0848
First Class,Consumer,United States,Dublin,Ohio,43017,East,Technology,Machines,1439.964,4,0.7,-383.9904
First Class,Consumer,United States,Dublin,Ohio,43017,East,Office Supplies,Art,81.50399999999999,2,0.2,2.7168
Standard Class,Corporate,United States,Detroit,Michigan,48227,Central,Office Supplies,Art,6.6000000000000005,1,0.0,0.968
Standard Class,Corporate,United States,Detroit,Michigan,48227,Central,Furniture,Tables,1867.3500000000001,5,0.0,136.939
Standard Class,Corporate,United States,Detroit,Michigan,48227,Central,Office Supplies,Storage,65.94,1,0.0,0.2198
Standard Class,Consumer,United States,Columbia,Tennessee,38401,South,Furniture,Chairs,484.70400000000006,2,0.2,-28.2744
Standard Class,Consumer,United States,Columbia,Tennessee,38401,South,Furniture,Chairs,1169.0880000000002,8,0.2,43.8408
Standard Class,Corporate,United States,Charlotte,North Carolina,28205,South,Office Supplies,Binders,55.944,7,0.7,-12.432
Standard Class,Home Office,United States,Tampa,Florida,33614,South,Furniture,Tables,701.58,2,0.45,-102.048
Standard Class,Home Office,United States,Tampa,Florida,33614,South,Furniture,Tables,1861.8435,3,0.45,-248.2458
Standard Class,Home Office,United States,Tampa,Florida,33614,South,Office Supplies,Binders,15.984000000000002,2,0.7,-3.552
Standard Class,Home Office,United States,Tampa,Florida,33614,South,Furniture,Furnishings,774.216,3,0.2,0.0
Standard Class,Home Office,United States,Tampa,Florida,33614,South,Technology,Accessories,1853.9279999999999,3,0.2,-7.7247
Standard Class,Corporate,United States,Santa Clara,California,95051,West,Office Supplies,Paper,31.68,2,0.0,4.752
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,77.76,5,0.2,9.396
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,1259.04,5,0.6,-356.728
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,35.064,3,0.6,-4.6752
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Technology,Phones,95.952,2,0.2,11.1944
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Tables,531.675,5,0.5,-120.513
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,12.131999999999998,3,0.6,-2.8308
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Art,22.224,2,0.2,1.2038
Second Class,Home Office,United States,Lakeville,Minnesota,55044,Central,Furniture,Chairs,6005.58,7,0.0,580.5394
Second Class,Home Office,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Storage,500.15999999999997,2,0.0,41.68
Second Class,Home Office,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Paper,143.64000000000001,6,0.0,23.94
Second Class,Home Office,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Appliances,4509.75,5,0.0,496.0725
Second Class,Home Office,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Paper,77.76,4,0.0,12.4416
